id,gender,region,highest_qualification,city_score,age,studied_credits,disability,prelim_score,online_clicks,full_term_subscription
537811,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,60,Y,97.07142857142857,25159,1
35355,M,Wales,Lower Than A Level,0-10%,35-55,30,N,75.22222222222223,3358,0
308703,F,Wales,HE Qualification,50-60%,0-35,60,N,82.75,319,0
2213424,F,Scotland,HE Qualification,30-40%,35-55,60,N,85.9090909090909,1071,1
486087,M,Yorkshire Region,A Level or Equivalent,0-10%,0-35,120,N,85.41666666666667,2533,1
447475,F,East Midlands Region,Lower Than A Level,40-50%,35-55,30,N,80.77777777777777,4040,1
129638,F,London Region,Lower Than A Level,30-40%,35-55,30,N,33.0,921,0
473378,M,South West Region,A Level or Equivalent,80-90%,0-35,60,N,86.0,1542,0
540219,M,Wales,A Level or Equivalent,30-40%,0-35,60,N,89.75,2561,1
651927,M,East Anglian Region,A Level or Equivalent,70-80%,0-35,120,N,87.75,3342,1
699440,M,Ireland,A Level or Equivalent,,0-35,60,N,93.25,2922,1
620337,F,East Anglian Region,HE Qualification,30-40%,35-55,120,N,59.142857142857146,5791,0
504034,F,Ireland,A Level or Equivalent,0-10%,0-35,120,N,62.0,44,0
549636,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,60,Y,75.0,1071,0
559011,F,West Midlands Region,Lower Than A Level,40-50%,0-35,60,N,66.66666666666667,154,0
294219,F,North Western Region,A Level or Equivalent,30-40%,35-55,60,N,92.0,4941,1
472651,M,South West Region,HE Qualification,70-80%,35-55,60,N,88.25,4027,1
155963,M,North Region,A Level or Equivalent,10-20,0-35,60,N,91.22222222222223,452,1
2231961,M,London Region,HE Qualification,10-20,35-55,60,N,84.76923076923077,736,1
2517778,F,North Western Region,Lower Than A Level,20-30%,0-35,150,N,0.0,370,0
648257,M,North Western Region,Lower Than A Level,60-70%,0-35,30,N,53.333333333333336,244,0
508829,M,Yorkshire Region,A Level or Equivalent,60-70%,0-35,60,N,37.285714285714285,354,0
2689958,M,East Anglian Region,A Level or Equivalent,40-50%,35-55,60,N,81.6,3929,1
626403,M,Wales,Lower Than A Level,10-20,0-35,60,N,84.0,433,0
499400,M,East Midlands Region,A Level or Equivalent,90-100%,35-55,60,N,87.0,6057,1
590028,F,East Anglian Region,HE Qualification,60-70%,0-35,30,N,60.0,43,0
622500,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,30,Y,95.11111111111111,2474,1
